SKU,Main Category Name,Sub Category Name,Item Name,Color Code,Size,Stock,Wholesale Value,Market Value,Retail Value,Desc,Weight(lb),Img Url
E5EESE3263BKDHM,Jewelry,Earrings,Crystal Statement Drop Earrings,Black Diamond,4 inch long,6,9,30,29.99,Crystal Statement Drop Earrings in EarringsBlack Diamond,0.5,https://cdn.jropship.com/l/E5EESE3263BKDHM.jpg
M6E1404RedGD,Jewelry,Earrings,Edgy Crystal Pageant Earrings,Red,2 1/4 inch long,6,6.75,23.25,22.99,No Response,0.1,https://cdn.jropship.com/l/M6E1404RedGD.jpg
C9EECQ4276ABOGD,Jewelry,Earrings,Crystal Shourouk Clip-on Earrings,Aurora Borealis,2 1/4 inch long,6,6.75,23.25,22.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ4276ABOGD.jpg
S7BCB0109BRNWD,Jewelry,Earrings,5-Piece Wood Bauble Bracelet,Brown,Stretch,6,6.75,23.25,22.99,No Response,0.4,https://cdn.jropship.com/l/S7BCB0109BRNWD.jpg
R3EME4208GLDGM,Jewelry,Earrings,Metal Geometric Drop Earrings,Gold,2 1/4 inch long,6,3.5,13.5,13.99,No Response,0.1,https://cdn.jropship.com/l/R3EME4208GLDGM.jpg
F4B0098DZ2TT2T,Jewelry,Earrings,Six-Pack Metal Nugget Beaded Stretch Bracelet,Two-Tone,1 inch wide,5,36,111,110.99,No Response,0.4,https://cdn.jropship.com/l/F4B0098DZ2TT2T.jpg
C7SQNE1055RedGD,Jewelry,Earrings,Wide Shoulder to Shoulder Pearl Bib Necklace ,Red,14 inch + 3,5,20.5,64.5,64.99,No Response,0.5,https://cdn.jropship.com/l/C7SQNE1055RedGD.jpg
C7SQNE1055YELGD,Jewelry,Earrings,DST Wide Shoulder to Shoulder Pearl Bib Necklace ,Yellow,14 inch + 3,5,20.5,64.5,64.99,DST Wide Shoulder to Shoulder Pearl Bib Necklace  in Necklace SetsYellow,1,https://cdn.jropship.com/l/C7SQNE1055YELGD.jpg
E5EESE3263PCHRG,Jewelry,Earrings,Crystal Statement Drop Earrings,Peach,4 inch long,5,9,30,29.99,Crystal Statement Drop Earrings in EarringsPeach,0.5,https://cdn.jropship.com/l/E5EESE3263PCHRG.jpg
G4EGE2076AGRNGD,Jewelry,Earrings,Crystal Statement Flower Clip-On Earrings,AB Green,3 1/2 inch long,5,8.25,27.75,27.99,Crystal Statement Flower Clip-On Earrings in EarringsAB Green,0.5,https://cdn.jropship.com/l/G4EGE2076AGRNGD.jpg
F4B0098DZ2TT2T,Jewelry,Earrings,Six-Pack Metal Nugget Beaded Stretch Bracelet,Two-Tone,1 inch wide,5,36,111,110.99,No Response,0.4,https://cdn.jropship.com/l/F4B0098DZ2TT2T.jpg
C7SQNE1055RedGD,Jewelry,Earrings,Wide Shoulder to Shoulder Pearl Bib Necklace ,Red,14 inch + 3,5,20.5,64.5,64.99,No Response,0.5,https://cdn.jropship.com/l/C7SQNE1055RedGD.jpg
C9EECQ36FUSRD,Jewelry,Earrings,Pageant Crystal Clip-on Earrings,Fuschia,3 1/4 inch long,5,5,18,17.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ36FUSRD.jpg
C9EECQ150AGRNGD,Jewelry,Necklace Sets,Crystal Teardrop Clip-On Earrings,Green,3 3/4 inch long,5,7.5,25.5,25.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ150AGRNGD.jpg
