SKU,MainCategoryName,SubCategoryName,ItemName,ColorCode,Size,Stock,,,,Desc,Weight(lb),Img Url
C9EECQ36BLURD,Jewelry,Earrings,Pageant Statement Crystal Clip-on Earrings,Blue,3 1/4 inch long,7,5,18,17.99,,0.1,https://cdn.jropship.com/l/C9EECQ36BLURD.jpg
E5EESE3263BKDHM,Jewelry,Earrings,Crystal Statement Drop Earrings,BLACK DIAMOND,4 inch long,6,9,30,29.99,Crystal Statement Drop Earrings in EARRINGSBLACK DIAMOND,0.5,https://cdn.jropship.com/l/E5EESE3263BKDHM.jpg
M6E1404REDGD,Jewelry,Earrings,Edgy Crystal Pageant Earrings,Red,2 1/4 inch long,6,6.75,23.25,22.99,,0.1,https://cdn.jropship.com/l/M6E1404REDGD.jpg
C9EECQ4276ABOGD,Jewelry,Earrings,Crystal Shourouk Clip-on Earrings,Aurora Borealis,2 1/4 inch long,6,6.75,23.25,22.99,,0.1,https://cdn.jropship.com/l/C9EECQ4276ABOGD.jpg
S7BCB0109BRNWD,Jewelry,Bracelets,5-Piece Wood Bauble Bracelet,Brown,Stretch,6,6.75,23.25,22.99,,0.4,https://cdn.jropship.com/l/S7BCB0109BRNWD.jpg
R3EME4208GLDGM,Jewelry,Earrings,Metal Geometric Drop Earrings,Gold,2 1/4 inch long,6,3.5,13.5,13.99,,0.1,https://cdn.jropship.com/l/R3EME4208GLDGM.jpg
F4B0098DZ2TT2T,Jewelry,Bracelets,Six-Pack Metal Nugget Beaded Stretch Bracelet,Two-Tone,1 inch wide,5,36,111,110.99,,0.4,https://cdn.jropship.com/l/F4B0098DZ2TT2T.jpg
C7SQNE1055REDGD,Jewelry,Necklace Sets,Wide Shoulder to Shoulder Pearl Bib Necklace,Red,14 inch + 3,5,20.5,64.5,64.99,,0.5,https://cdn.jropship.com/l/C7SQNE1055REDGD.jpg
C7SQNE1055YELGD,Jewelry,Necklace Sets,DST Wide Shoulder to Shoulder Pearl Bib Necklace,YELLOW,14 inch + 3,5,20.5,64.5,64.99,DST Wide Shoulder to Shoulder Pearl Bib Necklace in NECKLACE SETSYELLOW,1,https://cdn.jropship.com/l/C7SQNE1055YELGD.jpg
E5EESE3263PCHRG,Jewelry,Earrings,Crystal Statement Drop Earrings,PEACH,4 inch long,5,9,30,29.99,Crystal Statement Drop Earrings in EARRINGSPEACH,0.5,https://cdn.jropship.com/l/E5EESE3263PCHRG.jpg
G4EGE2076AGRNGD,Jewelry,Earrings,Crystal Statement Flower Clip-On Earrings,AB GREEN,3 1/2 inch long,5,8.25,27.75,27.99,Crystal Statement Flower Clip-On Earrings in EARRINGSAB GREEN,0.5,https://cdn.jropship.com/l/G4EGE2076AGRNGD.jpg
F4B0098DZ2TT2T,Jewelry,Bracelets,Six-Pack Metal Nugget Beaded Stretch Bracelet,Two-Tone,1 inch wide,5,36,111,110.99,,0.4,https://cdn.jropship.com/l/F4B0098DZ2TT2T.jpg
C7SQNE1055REDGD,Jewelry,Necklace Sets,Wide Shoulder to Shoulder Pearl Bib Necklace,Red,14 inch + 3,5,20.5,64.5,64.99,,0.5,https://cdn.jropship.com/l/C7SQNE1055REDGD.jpg
C9EECQ36FUSRD,Jewelry,Earrings,Pageant Crystal Clip-on Earrings,Fuschia,3 1/4 inch long,5,5,18,17.99,,0.1,https://cdn.jropship.com/l/C9EECQ36FUSRD.jpg
C9EECQ150AGRNGD,Jewelry,Earrings,Crystal Teardrop Clip-On Earrings,Green,3 3/4 inch long,5,7.5,25.5,25.99,,0.1,https://cdn.jropship.com/l/C9EECQ150AGRNGD.jpg
U1EELE1175PNKGB,Jewelry,Earrings,Geo Wood Fashion Earrings,Pink,2 1/4 inch long,5,4.5,16.5,16.99,,0.1,https://cdn.jropship.com/l/U1EELE1175PNKGB.jpg
C9SNBY7310REDGD,Jewelry,Necklace Sets,Crystal Statement V-Shape Bib Necklace Set,RED,18 inch + 3,5,24.5,76.5,76.99,Crystal Statement V-Shape Bib Necklace Set in NECKLACE SETSRED,0.5,https://cdn.jropship.com/l/C9SNBY7310REDGD.jpg
G4EGE2076AGRNGD,Jewelry,Earrings,Crystal Statement Flower Clip-On Earrings,AB GREEN,3 1/2 inch long,5,8.25,27.75,27.99,Crystal Statement Flower Clip-On Earrings in EARRINGSAB GREEN,0.5,https://cdn.jropship.com/l/G4EGE2076AGRNGD.jpg
C9SNPY043MRBLURD,Jewelry,Necklace Sets,Multi-Strand Layered Pearl a Set,Blue,17 inch + 3,4,6.75,23.25,22.99,,0.5,https://cdn.jropship.com/l/C9SNPY043MRBLURD.jpg
G4SGNE2062APURGD,Jewelry,Necklace Sets,Crystal Statement Bib Necklace Set,PURPLE,13 inch + 4,4,18,57,56.99,Crystal Statement Bib Necklace Set in NECKLACE SETSPURPLE,0.5,https://cdn.jropship.com/l/G4SGNE2062APURGD.jpg
E5EESE3263BLKHM,Jewelry,Earrings,Crystal Statement Drop Earrings,BLACK,4 inch long,4,9,30,29.99,Crystal Statement Drop Earrings in EARRINGSBLACK,0.5,https://cdn.jropship.com/l/E5EESE3263BLKHM.jpg
C9SNBY7851ABOGD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,AURORA BOREALIS,16 inch + 3,4,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSAURORA BOREALIS,0.5,https://cdn.jropship.com/l/C9SNBY7851ABOGD.jpg
M6E1404MLTGD,Jewelry,Earrings,Statement Crystal Pineapple Clip-on Earrings,Multi,2 1/4 inch long,4,6.75,23.25,22.99,,0.1,https://cdn.jropship.com/l/M6E1404MLTGD.jpg
B5S014178LCTGD,Jewelry,Necklace Sets,Statement Crystal Bib Necklace Set,Light Colorado Topaz,16 inch + 3,4,22.5,70.5,70.99,,0.5,https://cdn.jropship.com/l/B5S014178LCTGD.jpg
B5S014178PURRD,Jewelry,Necklace Sets,Statement Crystal Bib Necklace Set,Purple,16 inch + 3,4,22.5,70.5,70.99,,0.5,https://cdn.jropship.com/l/B5S014178PURRD.jpg
B5S014178MLTRD,Jewelry,Necklace Sets,Statement Crystal Bib Necklace Set,Multi,16 inch + 3,4,22.5,70.5,70.99,,0.5,https://cdn.jropship.com/l/B5S014178MLTRD.jpg
B5S014178ABOGD,Jewelry,Necklace Sets,Statement Crystal Bib Necklace Set,Aurora Borealis,16 inch + 3,4,22.5,70.5,70.99,,0.5,https://cdn.jropship.com/l/B5S014178ABOGD.jpg
C9EECY8960ABOGD,Jewelry,Earrings,Karolina Jasko Crystal Earrings,Aurora Borealis,3 3/4 inch long,4,9.75,32.25,31.99,,0.1,https://cdn.jropship.com/l/C9EECY8960ABOGD.jpg
C9EECY8960PCHGD,Jewelry,Earrings,Karolina Jasko Crystal Earrings,Peach,3 3/4 inch long,4,9.75,32.25,31.99,,0.1,https://cdn.jropship.com/l/C9EECY8960PCHGD.jpg
U1EFER350ORGGB,Jewelry,Earrings,Glass Beadede Fringe Fashion Earrings,ORANGE,4 1/2 inch long,4,4.5,16.5,16.99,Glass Beadede Fringe Fashion Earrings in EARRINGSORANGE,0.5,https://cdn.jropship.com/l/U1EFER350ORGGB.jpg
C7SQNE10551LMTGD,Jewelry,Necklace Sets,Multi-Strand Layered Pearl Necklace Set,Light Multi,17 inch + 3,3,6.75,23.25,22.99,,0.5,https://cdn.jropship.com/l/C7SQNE10551LMTGD.jpg
G4SGNE2062AGRNGD,Jewelry,Necklace Sets,Crystal Statement Bib Necklace Set,Green,13 inch + 4,3,18,57,56.99,,0.5,https://cdn.jropship.com/l/G4SGNE2062AGRNGD.jpg
C7SQNE1055ORGGD,Jewelry,Necklace Sets,DST Wide Shoulder to Shoulder Pearl Bib Necklace,ORANGE,14 inch + 3,3,20.5,64.5,64.99,DST Wide Shoulder to Shoulder Pearl Bib Necklace in NECKLACE SETSORANGE,1,https://cdn.jropship.com/l/C7SQNE1055ORGGD.jpg
C9SNBY7851CLRRD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,CLEAR,16 inch + 3,3,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSCLEAR,0.5,https://cdn.jropship.com/l/C9SNBY7851CLRRD.jpg
C9EECQ36PURRD,Jewelry,Earrings,Pageant Crystal Clip-on Earrings,Purple,3 1/4 inch long,3,5,18,17.99,,0.1,https://cdn.jropship.com/l/C9EECQ36PURRD.jpg
C9EECY8960BLKGD,Jewelry,Earrings,Karolina Jasko Crystal Earrings,Black,3 3/4 inch long,3,9.75,32.25,31.99,,0.1,https://cdn.jropship.com/l/C9EECY8960BLKGD.jpg
C7SQNE1055MNTGD,Jewelry,Necklace Sets,DST Wide Shoulder to Shoulder Pearl Bib Necklace,MINT,14 inch + 3,3,20.5,64.5,64.99,DST Wide Shoulder to Shoulder Pearl Bib Necklace in NECKLACE SETSMINT,1,https://cdn.jropship.com/l/C7SQNE1055MNTGD.jpg
C7SQNE1055ORGGD,Jewelry,Necklace Sets,DST Wide Shoulder to Shoulder Pearl Bib Necklace,ORANGE,14 inch + 3,3,20.5,64.5,64.99,DST Wide Shoulder to Shoulder Pearl Bib Necklace in NECKLACE SETSORANGE,1,https://cdn.jropship.com/l/C7SQNE1055ORGGD.jpg
N5EYE2776MLTGD,Jewelry,Earrings,18mm Iridescent Ball Hoop Earrings,MULTI,3 3/4 inch dia,3,6.5,22.5,22.99,18mm Iridescent Ball Hoop Earrings in EARRINGSMULTI,0.5,https://cdn.jropship.com/l/N5EYE2776MLTGD.jpg
E3EESE7190MLTGD,Jewelry,Earrings,Statement Pageant Tear Drop Earrings,MULTI,5 1/2 inch long,3,10.5,34.5,34.99,Statement Pageant Tear Drop Earrings in EARRINGSMULTI,0.5,https://cdn.jropship.com/l/E3EESE7190MLTGD.jpg
C9SNPY003GLDGD,Jewelry,Necklaces,Statement Layered Pearl Necklace Set,Gold,18 inch + 3,2,13.5,43.5,43.99,,0.4,https://cdn.jropship.com/l/C9SNPY003GLDGD.jpg
C9SNBY7402LCTGD,Jewelry,Necklace Sets,Statement Marquis Floral Bib Necklace Set,Light Colorado Topaz,17 inch + 3,2,36,111,110.99,,0.5,https://cdn.jropship.com/l/C9SNBY7402LCTGD.jpg
C9SNBY7402BLUGD,Jewelry,Necklace Sets,Statement Marquis Floral Bib Necklace Set,Blue,17 inch + 3,2,36,111,110.99,,0.5,https://cdn.jropship.com/l/C9SNBY7402BLUGD.jpg
C9SNBY7402GRNGD,Jewelry,Necklace Sets,Statement Marquis Floral Bib Necklace Set,Green,17 inch + 3,2,36,111,110.99,,0.5,https://cdn.jropship.com/l/C9SNBY7402GRNGD.jpg
T4NNCK2810BGDGB,Jewelry,Necklaces,Handmade Natural Fiber Beaded Selena Body Jewelry,BURGUNDY,17 inch long,2,36,111,110.99,,0.4,https://cdn.jropship.com/l/T4NNCK2810BGDGB.jpg
C9EKE1455BRNGD,Jewelry,Earrings,Camila Statement Crystal Earrings,BROWN,4 3/4 inch long,2,9,30,29.99,Camila Statement Crystal Earrings in EARRINGSBROWN,0.5,https://cdn.jropship.com/l/C9EKE1455BRNGD.jpg
